City,Attack_Metric,Critical_q,Total_Removed,P_q,Fatal_Nodes_Array
Chengdu,CI_Radius2,0.61,11163,0.0099,"[35984, 36014, 36017, 36033, 36059, 36094, 36165, 36233, 36242, 36263, 36317, 36400, 36411, 36466, 36609, 36683, 36718, 36773, 36802, 36888, 36911, 37088, 37164, 37324, 37508, 37557, 37602, 37907, 38037, 38040, 38073, 38169, 38171, 38257, 38291, 38303, 38311, 38324, 38326, 38371, 38397, 38413, 38423, 38517, 38525, 38540, 38551, 38642, 38718, 38860, 39022, 39027, 39035, 39052, 39086, 39117, 39161, 39176, 39187, 39188, 39317, 39323, 39328, 39425, 39485, 39505, 39531, 39565, 39609, 39761, 39775, 39781, 40095, 40179, 40429, 40617, 40648, 40989, 40995, 41030, 41048, 41122, 41127, 41131, 41207, 41258, 41264, 41367, 41445, 41549, 41582, 41697, 41736, 41740, 41763, 41791, 41905, 41937, 42024, 42106, 42142, 42172, 42431, 42546, 42583, 42660, 42673, 42706, 42715, 43015, 43031, 43039, 43267, 43480, 43782, 43795, 43800, 43832, 44056, 44090, 44128, 44152, 44291, 44444, 44805, 44925, 44964, 45209, 45649, 45684, 45723, 45803, 45957, 46187, 46242, 46426, 46531, 47700, 47719, 47726, 47742, 47865, 47870, 48215, 48697, 48854, 49354, 49593, 49630, 51132, 51137, 51184, 51213, 51221, 51229, 51237, 51333, 51385, 51395, 51401, 51404, 51413, 786, 1153, 1194, 5977, 7557, 8906, 10146, 10834, 10872, 12069, 13584, 13653, 14506, 14941, 19141, 19595, 20091, 20372, 20827, 21185, 21272]"
Chengdu,CI_Radius2,0.61,11163,0.0099,"[35984, 36014, 36017, 36033, 36059, 36094, 36165, 36233, 36242, 36263, 36317, 36400, 36411, 36466, 36609, 36683, 36718, 36773, 36802, 36888, 36911, 37088, 37164, 37324, 37508, 37557, 37602, 37907, 38037, 38040, 38073, 38169, 38171, 38257, 38291, 38303, 38311, 38324, 38326, 38371, 38397, 38413, 38423, 38517, 38525, 38540, 38551, 38642, 38718, 38860, 39022, 39027, 39035, 39052, 39086, 39117, 39161, 39176, 39187, 39188, 39317, 39323, 39328, 39425, 39485, 39505, 39531, 39565, 39609, 39761, 39775, 39781, 40095, 40179, 40429, 40617, 40648, 40989, 40995, 41030, 41048, 41122, 41127, 41131, 41207, 41258, 41264, 41367, 41445, 41549, 41582, 41697, 41736, 41740, 41763, 41791, 41905, 41937, 42024, 42106, 42142, 42172, 42431, 42546, 42583, 42660, 42673, 42706, 42715, 43015, 43031, 43039, 43267, 43480, 43782, 43795, 43800, 43832, 44056, 44090, 44128, 44152, 44291, 44444, 44805, 44925, 44964, 45209, 45649, 45684, 45723, 45803, 45957, 46187, 46242, 46426, 46531, 47700, 47719, 47726, 47742, 47865, 47870, 48215, 48697, 48854, 49354, 49593, 49630, 51132, 51137, 51184, 51213, 51221, 51229, 51237, 51333, 51385, 51395, 51401, 51404, 51413, 786, 1153, 1194, 5977, 7557, 8906, 10146, 10834, 10872, 12069, 13584, 13653, 14506, 14941, 19141, 19595, 20091, 20372, 20827, 21185, 21272]"
Chengdu,CoreHD,0.51,9333,0.0071,"[13342, 13662, 14080, 13393, 13691, 13303, 13726, 13692, 13391, 13523, 13499, 13446, 13425, 13309, 13285, 13288, 17371, 16376, 15742, 15385, 14947, 12541, 14397, 13387, 12569, 13531, 13231, 13535, 13235, 13397, 13384, 13715, 13753, 13767, 13357, 13667, 13472, 13471, 13376, 13738, 13262, 13757, 13697, 13332, 13432, 13347, 13335, 13327, 12987, 12681, 12650, 12381, 12524, 12867, 13216, 13255, 13248, 13374, 13334, 13206, 13283, 12962, 12658, 13199, 13148, 13207, 13083, 13056, 13402, 13038, 13193, 12715, 13265, 13190, 11760, 13320, 11724, 12588, 11428, 12798, 12210, 12328, 12327, 47388, 12334, 47433, 12517, 12518, 12399, 12922, 12398, 12628, 12416, 12623, 12453, 13495, 12900, 12875, 12825, 12905, 12790, 13491, 13172, 13050, 12726, 12686, 13074, 12834, 12515, 13252, 12986, 12994, 13002, 12746, 12448, 12362, 12352, 12761, 12703, 13143, 13144, 47511, 13179, 13077, 13180, 12946, 12937, 13019, 12791, 12402, 12849, 12784, 12978, 12759, 12701, 12968, 12493, 12488, 12556, 12348, 12347, 12152, 12151, 47311, 47313, 12538, 12537, 12540, 47316, 47319, 47308, 13024, 12662, 12465, 12463, 13042, 12927, 12816, 12780, 12461, 12476, 12475, 12477, 12436, 12460, 12421, 25924, 25967, 25968, 25993, 25994, 25747, 25748, 24931, 24932, 22847, 20851, 20651, 19827, 19729, 19730, 12377, 17585]"
Dalian,CI_Radius2,0.51,6938,0.0100,"[15838, 15908, 15945, 16002, 16057, 16089, 16183, 16184, 16221, 16236, 16256, 16303, 16306, 16319, 16365, 16393, 16624, 16680, 16744, 16804, 16884, 16887, 16963, 17052, 17240, 17249, 17251, 17274, 17298, 17327, 17329, 17339, 17419, 17423, 17631, 17672, 17844, 17870, 18340, 18625, 18667, 19109, 19113, 19292, 19563, 19810, 19817, 19839, 19886, 19957, 20053, 20094, 20254, 20283, 20427, 20437, 20452, 20551, 20564, 20572, 20576, 20598, 20662, 20664, 20693, 20716, 20740, 20835, 20873, 20875, 20914, 21007, 21039, 21152, 21233, 21323, 21342, 21486, 21664, 21779, 21807, 21883, 21886, 22225, 22384, 22738, 22758, 22779, 22868, 22869, 23036, 23084, 23150, 23155, 23224, 23225, 23236, 23258, 23266, 23279, 23291, 23447, 23499, 23516, 23530, 23563, 23568, 23574, 23616, 23761, 23791, 23793, 23807, 23818, 23831, 23953, 24116, 24131, 24139, 24177, 24201, 24211, 24214, 24232, 24242, 24275, 24296, 24318, 24322, 24355, 24427, 24429, 24431, 24469, 24487, 24589]"
Dalian,CoreHD,0.34,4625,0.0097,"[22837, 22831, 22749, 22750, 22705, 22693, 22694, 22689, 22649, 22573, 22643, 22665, 22726, 22725, 22735, 22942, 22941, 22950, 22953, 22875, 22821, 22824, 22810, 22777, 22778, 22747, 22748, 22731, 22732, 22671, 22672, 22641, 22642, 22585, 22586, 22579, 22580, 22545, 22499, 22502, 22451, 22452, 22335, 22303, 22319, 34921, 22447, 22448, 22511, 22510, 22544, 22577, 22578, 22581, 22582, 22639, 22640, 22669, 22670, 22729, 22730, 22745, 22746, 22872, 22775, 22867, 22839, 22776, 22842, 22834, 22791, 22813, 22779, 22761, 22762, 35022, 22818, 22782, 22733, 22771, 22734, 23765, 23761, 23735, 22945, 24080, 23479, 22880, 23345, 23277, 22887, 23341, 23278, 22886, 23115, 22889, 22882, 22892, 22805, 22679, 22908, 22755, 22687, 22472, 22444, 22883, 22716, 22713, 22828, 22829, 22812, 22711, 22712, 23881, 22667, 23274, 22653, 22738, 22700, 22584, 22441, 22728, 22654, 22720, 22603, 22658, 22599, 22656, 22606, 22655, 22650, 22609, 22646, 22633, 22613, 22596]"
Dongguan,CI_Radius2,0.59,4905,0.0055,"[424, 439, 640, 1008, 1034, 1042, 1151, 1167, 1174, 1203, 1268, 1386, 1422, 1474, 1546, 1627, 1686, 1852, 1879, 1897, 1913, 1990, 2015, 2043, 2211, 2248, 2531, 2585, 2613, 2662, 2680, 2819, 2890, 3095, 3154, 3191, 3359, 3411, 3505, 3586, 3770, 3830, 3841, 3889, 3932, 4015, 4067, 4324, 4407, 4627, 4792, 4801, 4815, 4888, 4970, 4973, 4984, 5067, 5088, 5279, 5552, 5733, 5920, 5958, 6167, 6187, 6289, 6319, 6357, 6523, 6954, 6989, 6994, 7114, 7158, 7461, 7549, 7681, 7717, 7739, 7880, 7887, 7904]"
Dongguan,CoreHD,0.61,5072,0.0071,"[1439, 1655, 1533, 1478, 1466, 1460, 1436, 1491, 1485, 1474, 1422, 1500, 1526, 1518, 1416, 1301, 1481, 1293, 1507, 1305, 1411, 1372, 1405, 1403, 1387, 1342, 1280, 1253, 1231, 1329, 1469, 1449, 1269, 1266, 1392, 1384, 1350, 1322, 1308, 1292, 1288, 1284, 1365, 1178, 1102, 1093, 969, 954, 1008, 1379, 1151, 1375, 1357, 1369, 1199, 1363, 1184, 1243, 1268, 1225, 1224, 1219, 1240, 1216, 1193, 1180, 1214, 1192, 1068, 1070, 1090, 1098, 1106, 1116, 1149, 1179, 1150, 1176, 1173, 1511, 1461, 1417, 1339]"
Harbin,CI_Radius2,0.57,6114,0.0061,"[86, 89, 99, 236, 284, 314, 502, 826, 920, 931, 1012, 1020, 1024, 1178, 1283, 1343, 1373, 1574, 1601, 1677, 1758, 1772, 1809, 1890, 1976, 2249, 2254, 2256, 2260, 2435, 2565, 2607, 2659, 2713, 2855, 2858, 2869, 2879, 2959, 3002, 3024, 3206, 3232, 3243, 3292, 3354, 3410, 3414, 3567, 3580, 3660, 3832, 3959, 3971, 4039, 4722, 4723, 4737, 4753, 4756, 4764, 4787, 4837, 4849, 4852, 5021, 5048, 5077, 5078, 5260, 5354, 5398, 5435, 5559, 5662, 5684, 5706, 5998, 6021, 6110, 6234, 6284, 6298, 6314, 6330, 6405, 6443, 6532, 6584, 6627, 6693, 6826, 6894, 7292, 7329, 7339, 7494, 7570, 7606, 7660, 7707, 7770, 7798, 7819, 8154, 8292, 8329]"
Harbin,CoreHD,0.61,6543,0.0072,"[2299, 2274, 2251, 2222, 2219, 2221, 2215, 2216, 2209, 2157, 2211, 2162, 2186, 2174, 3166, 3162, 2708, 2101, 1942, 2072, 2056, 2079, 2046, 2057, 2044, 2083, 2075, 2061, 2033, 2024, 2019, 2009, 2014, 1982, 2005, 1980, 1999, 1996, 2051, 2015, 2003, 2025, 1983, 2453, 2328, 2327, 1972, 1878, 1866, 1850, 1899, 1875, 1849, 2194, 2195, 1967, 1970, 1805, 1852, 1919, 1835, 1888, 1834, 1844, 1820, 1840, 1831, 1796, 1773, 1772, 1766, 1762, 1758, 1754, 1748, 1720, 1703, 1698, 1696, 1676, 1977, 1909, 1863, 1619, 1601, 1595, 1598, 1584, 1563, 1579, 1540, 1575, 1554, 1592, 1546, 1567, 1544, 1537, 1522, 1534, 1516, 1549, 1527, 1502, 1482, 1494, 1475]"
Qingdao,CI_Radius2,0.65,9031,0.0099,"[10851, 10954, 11196, 11433, 11456, 11537, 11554, 11615, 11707, 13129, 13315, 13942, 14416, 14501, 14595, 14666, 14734, 14921, 15092, 15133, 15141, 15441, 15492, 15515, 15563, 15748, 15794, 15928, 16245, 16301, 16342, 16355, 16558, 16561, 16566, 16635, 16660, 16854, 16866, 17124, 17142, 17272, 17455, 17521, 17663, 17796, 18543, 18565, 18603, 18761, 18836, 18995, 18996, 19024, 19032, 19046, 19161, 19172, 19260, 19279, 19285, 19299, 19360, 19475, 19476, 19614, 19724, 19845, 19939, 19954, 20063, 20087, 20175, 20314, 20581, 20736, 21541, 21674, 21756, 21801, 22162, 22181, 22256, 22587, 22611, 22657, 22684, 22718, 22763, 22932, 22975, 22981, 23510, 23519, 23718, 23770, 23830, 23833, 24196, 24630, 24802, 24958, 24992, 24999, 25084, 25202, 25460, 25579, 25998, 26276, 26518, 26547, 26719, 26870, 27189, 27271, 27394, 27637, 27739, 27874, 27879, 28035, 28040, 28100, 28156, 28173, 28449, 28481, 28554, 28637, 28849, 28866, 29025, 29047, 29286, 29338, 29429, 29954, 30246]"
Qingdao,CoreHD,0.56,7780,0.0069,"[5254, 5128, 5618, 5865, 5329, 4868, 4840, 4814, 4851, 10089, 9756, 9755, 9518, 9517, 9900, 9148, 9749, 9147, 9750, 8436, 9499, 8435, 9500, 8378, 9129, 8377, 9130, 7936, 8431, 7935, 8432, 7690, 8375, 7689, 8376, 5400, 7917, 5346, 7918, 5347, 4866, 7673, 5154, 4786, 7674, 4787, 4741, 5379, 4707, 4705, 5110, 5095, 5856, 5637, 5211, 5518, 5183, 5513, 5043, 5515, 4989, 5563, 4963, 5565, 4959, 5363, 4953, 5122, 4932, 5545, 5488, 5486, 5485, 5169, 5497, 5500, 5453, 4970, 5424, 4969, 5124, 5073, 5119, 5007, 4795, 5158, 5197, 5202, 5230, 5236, 5050, 5000, 4978, 4778, 5205, 5039, 5262, 5131, 5083, 4899, 6525, 6517, 5425, 5408, 4818, 4763, 5246, 4817, 4762, 4862, 4810, 4816, 4432, 4819, 4439, 4738, 4735, 4676, 4715, 4689, 4703, 4693, 4713, 4679, 4755, 4665, 4765, 4653, 8976, 4602, 4695, 4612, 4605, 4572, 4554, 4530, 4663, 4647, 4581]"
Quanzhou,CI_Radius2,0.60,3403,0.0092,"[9321, 9356, 9448, 9504, 9639, 9660, 9666, 9705, 9754, 9790, 9799, 9830, 9913, 9923, 9927, 9933, 9961, 9969, 9997, 10024, 10052, 10062, 10119, 10253, 10352, 10353, 10386, 10398, 10478, 10705, 10960, 10964, 11083, 11208, 11222, 11370, 11466, 11524, 11528, 11584, 11771, 11839, 11863, 11998, 12001, 12127, 12138, 12170, 12225, 12244, 12287, 12314, 12404, 12456, 12458, 12517, 12735]"
Quanzhou,CoreHD,0.63,3573,0.0063,"[13147, 13072, 13069, 13070, 13019, 13020, 12995, 12963, 12952, 12976, 13001, 12994, 13003, 12849, 12579, 12581, 12632, 12631, 12876, 12945, 12833, 12738, 12715, 12828, 12586, 12814, 12627, 12813, 12628, 12790, 12757, 12772, 12758, 12863, 12701, 12880, 12702, 12835, 12691, 12836, 12692, 12653, 12699, 12681, 12657, 12646, 12684, 12667, 12640, 12676, 12689, 12690, 12697, 12698, 12755, 12869, 12756]"
Shenyang,CI_Radius2,0.64,8320,0.0071,"[31944, 31956, 32042, 32104, 32114, 32155, 32163, 32257, 32350, 32361, 32365, 32510, 32530, 32538, 32545, 32678, 32755, 32858, 32875, 32881, 32913, 32956, 33055, 33069, 33074, 33110, 33126, 33130, 33165, 33187, 33256, 33291, 33338, 33355, 33495, 33518, 33527, 33530, 33532, 33594, 33620, 33632, 33639, 33696, 33759, 33820, 33833, 33861, 33907, 33954, 33957, 34048, 34070, 34080, 34366, 34368, 34384, 34522, 34536, 34564, 34607, 34623, 34685, 34691, 35039, 35042, 35243, 35341, 35393, 35396, 35418, 35423, 35466, 35485, 36059, 36082, 36731, 9134, 10135, 16252, 19914, 21417, 21739, 28451, 29911, 86, 91, 128, 133, 217, 224, 291, 439, 449, 587, 720, 764, 797, 855, 894, 900, 952, 968, 990, 1043, 1061, 1068, 1102, 1111, 1116, 1259, 1543, 1594, 1598, 1707, 1770, 1776, 1782, 1845, 1850, 1975, 2136, 2163, 2172, 2380, 2531, 2593, 2671, 2878, 3099]"
Shenyang,CoreHD,0.57,7410,0.0085,"[9628, 9752, 9398, 9550, 10080, 9540, 9717, 9424, 9718, 9389, 9747, 9517, 9600, 9574, 9552, 9865, 9622, 9557, 9575, 9519, 9778, 9432, 9422, 9610, 9442, 9360, 9782, 9742, 9696, 9531, 9363, 9767, 9727, 9708, 9691, 8933, 8932, 9450, 9029, 36021, 36024, 15531, 9282, 11278, 9311, 9281, 11277, 9346, 9284, 10484, 9435, 9270, 9630, 10128, 10366, 10986, 11586, 9564, 9454, 9144, 9366, 9134, 8773, 8566, 8890, 8730, 8937, 9039, 8858, 8674, 8614, 8834, 8832, 9220, 9606, 9370, 9526, 9410, 9420, 9380, 9480, 9294, 9616, 9700, 9828, 9567, 9471, 9503, 9407, 9301, 10072, 9413, 9394, 9265, 9492, 10388, 9242, 9401, 8974, 9253, 8951, 9473, 9474, 9399, 9585, 9244, 9116, 9330, 9204, 9161, 9493, 9152, 9151, 9142, 8862, 8861, 9355, 9335, 9248, 9130, 9175, 9213, 9147, 9200, 9138, 10586, 9483, 10050, 9487, 9124]"
Zhengzhou,CI_Radius2,0.67,6138,0.0069,"[3660, 3712, 3719, 3738, 3824, 3988, 4010, 4044, 4339, 4440, 4468, 4474, 4483, 4492, 4507, 4592, 4606, 4678, 4680, 4688, 4693, 4716, 4758, 4761, 4767, 4789, 4852, 4906, 5052, 5161, 5324, 5373, 5374, 5382, 5408, 5504, 5577, 5597, 5634, 5886, 5960, 5965, 5973, 5998, 6003, 6059, 6084, 6098, 6144, 6153, 6168, 6311, 6327, 6339, 6358, 6365, 6434, 6448, 6619, 6646, 6788, 6790, 6814, 6887, 6943, 7169, 7240, 7387, 7505, 7525, 7540, 7785, 7788, 7807, 7980, 8046, 8107, 8352, 8555, 9133, 9386, 9476, 9626, 9841, 10043, 10084, 10085, 10261, 10296, 10304, 10420, 10547]"
Zhengzhou,CoreHD,0.62,5680,0.0065,"[2453, 2508, 2440, 2462, 2515, 3408, 2516, 2659, 2511, 2656, 2533, 2650, 2553, 2560, 1946, 2529, 2523, 2519, 2514, 2503, 2498, 2486, 2550, 2470, 2494, 2479, 2471, 2439, 2434, 2433, 2394, 2393, 2360, 2359, 1852, 1851, 1648, 1647, 1302, 1301, 1226, 1225, 950, 949, 884, 883, 840, 839, 822, 821, 744, 743, 492, 491, 394, 393, 360, 338, 322, 300, 304, 277, 263, 311, 339, 357, 392, 391, 490, 489, 742, 741, 824, 823, 842, 841, 882, 881, 952, 951, 1224, 1223, 1304, 1303, 1650, 1649, 1854, 1853, 2364, 2363, 2396, 2512]"
