City,Strategy,q,P_q_Official
Dongguan,CABS_LCC_W3_K30_B5,0.77,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.78,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.79,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.8,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.81,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.8200000000000001,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.8300000000000001,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.84,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.85,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.86,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.87,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.88,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.89,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.9,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.91,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.92,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.93,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.9400000000000001,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.9500000000000001,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.96,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.97,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.98,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,0.99,0.009981960312687914
Dongguan,CABS_LCC_W3_K30_B5,1.0,0.009981960312687914
Harbin,CABS_LCC_W3_K30_B5,0.0,0.9445324881141046
Harbin,CABS_LCC_W3_K30_B5,0.01,0.8093595599888133
Harbin,CABS_LCC_W3_K30_B5,0.02,0.7834436468723781
Harbin,CABS_LCC_W3_K30_B5,0.03,0.5841334949193624
Harbin,CABS_LCC_W3_K30_B5,0.04,0.14645287592057424
Harbin,CABS_LCC_W3_K30_B5,0.05,0.07122214971567074
Harbin,CABS_LCC_W3_K30_B5,0.06,0.027966812715577515
Harbin,CABS_LCC_W3_K30_B5,0.07,0.01976321431900811
Harbin,CABS_LCC_W3_K30_B5,0.08,0.016407196793138807
Harbin,CABS_LCC_W3_K30_B5,0.09,0.012491843012957957
Harbin,CABS_LCC_W3_K30_B5,0.1,0.010254497995711756
Harbin,CABS_LCC_W3_K30_B5,0.11,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.12,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.13,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.14,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.15,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.16,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.17,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.18,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.19,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.2,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.21,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.22,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.23,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.24,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.25,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.26,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.27,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.28,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.29,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.3,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.31,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.32,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.33,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.34,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.35000000000000003,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.36,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.37,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.38,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.39,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.4,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.41000000000000003,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.42,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.43,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.44,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.45,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.46,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.47000000000000003,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.48,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.49,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.5,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.51,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.52,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.53,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.54,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.55,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.56,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.5700000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.58,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.59,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.6,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.61,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.62,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.63,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.64,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.65,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.66,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.67,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.68,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.6900000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.7000000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.71,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.72,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.73,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.74,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.75,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.76,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.77,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.78,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.79,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.8,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.81,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.8200000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.8300000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.84,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.85,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.86,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.87,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.88,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.89,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.9,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.91,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.92,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.93,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.9400000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.9500000000000001,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.96,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.97,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.98,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,0.99,0.00997482986855598
Harbin,CABS_LCC_W3_K30_B5,1.0,0.00997482986855598
Qingdao,CABS_LCC_W3_K30_B5,0.0,0.9525694544407658
Qingdao,CABS_LCC_W3_K30_B5,0.01,0.845976680581546
Qingdao,CABS_LCC_W3_K30_B5,0.02,0.8082625593781488
Qingdao,CABS_LCC_W3_K30_B5,0.03,0.5125953649057147
Qingdao,CABS_LCC_W3_K30_B5,0.04,0.07506837483805959
Qingdao,CABS_LCC_W3_K30_B5,0.05,0.050741327191593494
Qingdao,CABS_LCC_W3_K30_B5,0.06,0.029653087663739745
Qingdao,CABS_LCC_W3_K30_B5,0.07,0.020800345472865984
Qingdao,CABS_LCC_W3_K30_B5,0.08,0.01605009356556787
Qingdao,CABS_LCC_W3_K30_B5,0.09,0.012307470850726933
Qingdao,CABS_LCC_W3_K30_B5,0.1,0.010508133007053404
Qingdao,CABS_LCC_W3_K30_B5,0.11,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.12,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.13,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.14,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.15,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.16,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.17,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.18,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.19,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.2,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.21,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.22,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.23,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.24,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.25,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.26,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.27,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.28,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.29,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.3,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.31,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.32,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.33,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.34,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.35000000000000003,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.36,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.37,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.38,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.39,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.4,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.41000000000000003,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.42,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.43,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.44,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.45,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.46,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.47000000000000003,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.48,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.49,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.5,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.51,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.52,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.53,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.54,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.55,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.56,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.5700000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.58,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.59,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.6,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.61,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.62,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.63,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.64,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.65,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.66,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.67,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.68,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.6900000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.7000000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.71,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.72,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.73,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.74,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.75,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.76,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.77,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.78,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.79,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.8,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.81,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.8200000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.8300000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.84,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.85,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.86,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.87,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.88,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.89,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.9,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.91,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.92,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.93,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.9400000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.9500000000000001,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.96,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.97,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.98,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,0.99,0.009932344897077875
Qingdao,CABS_LCC_W3_K30_B5,1.0,0.009932344897077875
Quanzhou,CABS_LCC_W3_K30_B5,0.0,0.9104372355430184
Quanzhou,CABS_LCC_W3_K30_B5,0.01,0.8993300423131171
Quanzhou,CABS_LCC_W3_K30_B5,0.02,0.8626586741889986
Quanzhou,CABS_LCC_W3_K30_B5,0.03,0.6923483779971791
Quanzhou,CABS_LCC_W3_K30_B5,0.04,0.5340267983074753
Quanzhou,CABS_LCC_W3_K30_B5,0.05,0.16202397743300423
Quanzhou,CABS_LCC_W3_K30_B5,0.06,0.0706981664315938
Quanzhou,CABS_LCC_W3_K30_B5,0.07,0.04231311706629055
Quanzhou,CABS_LCC_W3_K30_B5,0.08,0.027503526093088856
Quanzhou,CABS_LCC_W3_K30_B5,0.09,0.02080394922425952
Quanzhou,CABS_LCC_W3_K30_B5,0.1,0.017806770098730607
Quanzhou,CABS_LCC_W3_K30_B5,0.11,0.014280677009873061
Quanzhou,CABS_LCC_W3_K30_B5,0.12,0.012165021156558533
Quanzhou,CABS_LCC_W3_K30_B5,0.13,0.010754583921015515
Quanzhou,CABS_LCC_W3_K30_B5,0.14,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.15,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.16,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.17,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.18,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.19,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.2,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.21,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.22,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.23,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.24,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.25,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.26,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.27,0.009873060648801129
Quanzhou,CABS_LCC_W3_K30_B5,0.28,0.009873060648801129
